Path,Category,Extension,Width,Height,TextureType,SpriteMode,PixelsPerUnit,SerializedReferenceCount,DuplicateFilename,ReferencedBy
Assets/Art/Backgrounds/BG_level.png,Backgrounds,png,1672,941,Sprite,Single,100,1,No,Assets/Scenes/HubMap_Day.unity
Assets/Art/Backgrounds/BG_red_oni.png,Backgrounds,png,1536,1024,Sprite,Single,100,1,No,Assets/Scenes/Stage_1_Route_Prototype.unity
Assets/Art/Backgrounds/BG_Section_Early.png,Backgrounds,png,2048,683,Sprite,Multiple,100,1,No,Assets/Scenes/Stage_1_1.unity
Assets/Art/Backgrounds/BG_Section_late.png,Backgrounds,png,2048,683,Sprite,Multiple,100,4,No,Assets/Scenes/Stage_1_1.unity | Assets/Scenes/Stage_1_2.unity | Assets/Scenes/Stage_1_Boss_RedOni.unity | Assets/_Recovery/0 (1).unity
Assets/Art/Backgrounds/BG_Section_middle.png,Backgrounds,png,2048,683,Sprite,Multiple,100,2,No,Assets/Scenes/Stage_1_1.unity | Assets/Scenes/Stage_1_2.unity
Assets/Art/Backgrounds/bg_stage_1_2_end.png,Backgrounds,png,1672,941,Sprite,Multiple,100,0,No,
Assets/Art/Backgrounds/bg_stage_1_2_middle_loop.png,Backgrounds,png,1672,941,Sprite,Multiple,100,0,No,
Assets/Art/Backgrounds/bg_stage_1_2_start.png,Backgrounds,png,1672,941,Sprite,Multiple,100,0,No,
Assets/Art/Backgrounds/cafe.png,Backgrounds,png,1448,1086,Sprite,Single,100,1,No,Assets/Scenes/CafeInterior_Temporary.unity
Assets/Art/Backgrounds/cafe_front.png,Backgrounds,png,1672,941,Sprite,Multiple,100,0,No,
Assets/Art/Backgrounds/cofee_front.png,Backgrounds,png,1672,941,Sprite,Multiple,100,0,No,
Assets/Art/Backgrounds/Cutouts/sheet1_01_fox_statue_dark.png,Backgrounds,png,212,300,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet1_02_fox_statue_masked.png,Backgrounds,png,189,300,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet1_03_ghost_wisp.png,Backgrounds,png,203,229,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet1_04_ghost_small_flame.png,Backgrounds,png,241,178,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet1_05_notice_board_red.png,Backgrounds,png,211,241,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet1_06_notice_board_wood.png,Backgrounds,png,218,256,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet1_07_purification_well_blue_flame.png,Backgrounds,png,216,185,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet1_08_shrine_lantern_rocks.png,Backgrounds,png,198,219,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet1_09_torii_simple.png,Backgrounds,png,316,326,Sprite,Single,100,0,No,
Assets/Art/Backgrounds/Cutouts/sheet1_10_torii_lit_spirit.png,Backgrounds,png,387,326,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet2_01_grass_tile_01.png,Backgrounds,png,154,152,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet2_02_grass_tile_02.png,Backgrounds,png,152,152,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet2_03_grass_tile_03.png,Backgrounds,png,153,152,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet2_04_grass_tile_04.png,Backgrounds,png,188,153,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet2_05_grass_tile_05.png,Backgrounds,png,154,152,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
Assets/Art/Backgrounds/Cutouts/sheet2_06_grass_tile_06.png,Backgrounds,png,188,152,Sprite,Single,100,1,No,Assets/Scenes/LeftRoute_Prototype.unity
